Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Train IoU,Val IoU
1,0.6207260623574257,0.5284458816051483,0.6377108915435006,0.9426219804022172,0.08969057691009635,0.0033287830583994342
2,0.5798476159572601,0.5895731508731842,0.8339945245978383,0.8206296242766543,0.17125953526291107,0.17639941192819297
3,0.5431924670934677,0.5541607201099396,0.9167859908208309,0.8917900797801331,0.2600126967018306,0.25445447401944854
4,0.5101762626320123,0.5210813820362091,0.9403990432200502,0.9170875879875617,0.302757819695819,0.2995805232256696
5,0.4818184956908226,0.48994387686252594,0.9498213037819527,0.9355420529513886,0.34941639513929074,0.34641613670672544
6,0.46070988699793813,0.4677549242973328,0.9529705318114169,0.9409470445428983,0.37784773977944985,0.36657343789150915
7,0.4428093183785677,0.447429159283638,0.9563664983581728,0.9490772787994547,0.40127555491684236,0.4008817729480971
8,0.4269180316478014,0.4321392893791199,0.9588814201712133,0.9537480422741857,0.4261111793796825,0.4234914905888949
9,0.41346263214945794,0.41556764841079713,0.9603333813730671,0.9565770148608959,0.4441606284111032,0.43902523742979055
10,0.3997761946171522,0.40156837105751036,0.9619645834255339,0.9595579656951656,0.458534524600047,0.4549877287694592
11,0.38646189495921135,0.38447052538394927,0.9639623589288767,0.9616480747665397,0.47380223360002227,0.4705075336814991
12,0.37287920229136945,0.3761180818080902,0.9649743575753974,0.9624866569286569,0.4851886064503169,0.4803470148254185
13,0.36026337258517743,0.36006139516830443,0.9661559246253432,0.9651386995738157,0.4915927366158882,0.49723769851807115
14,0.34742565639317036,0.3526643365621567,0.9670945957910407,0.9638809689929367,0.5007833299676414,0.49274149194448835
15,0.3327349957078695,0.3318010032176971,0.968486221776153,0.9686840664816512,0.5136599004538382,0.5202785941742512
16,0.3201685525476933,0.32113012075424197,0.9694994729961501,0.9689249641206554,0.5199235740212031,0.5253724023777329
17,0.3076341491192579,0.30983624160289763,0.9702212772118197,0.9680052447612314,0.525743105410782,0.5253614707906268
18,0.29436197094619276,0.29675683081150056,0.9712297866585147,0.9688722688543507,0.5353703164923544,0.5299788273929888
19,0.2825446706265211,0.28152304887771606,0.9721065872202143,0.9728840109270819,0.5426093930447082,0.5503932397429531
20,0.2733429158106446,0.27143736779689787,0.9726102696173603,0.9724567577982047,0.5453033762429724,0.551630047374766
21,0.2625908514484763,0.261850306391716,0.9734375385740437,0.9732539333650349,0.5542056013629028,0.5598130176247443
22,0.2546713626012206,0.25312610566616056,0.9737625609925773,0.974128971382006,0.5552460295074838,0.5629509846467886
23,0.2456272877752781,0.24441718459129333,0.974606751341635,0.974509787629108,0.5634126125252046,0.5675375657543469
24,0.23788997400552034,0.23645123094320297,0.9748497053420034,0.9755813203631526,0.567934221223156,0.5758627765330158
25,0.23034507371485233,0.23059097081422805,0.9755762480319253,0.9754315816104518,0.5732187181851262,0.580586624569551
26,0.22387678287923335,0.22535481452941894,0.9759991799781157,0.9753755236167004,0.5785032198039417,0.5825620799189215
27,0.2175679098814726,0.21869688332080842,0.9764338876195363,0.9762269057895808,0.5809885862205368,0.5855162112911322
28,0.21200853772461414,0.2115396112203598,0.9768438341128034,0.9770531692788985,0.5879047304193046,0.5926518432563584
29,0.20619966220110655,0.20762716829776764,0.9773368766451402,0.9768936079969273,0.5915980237122623,0.5974085250842285
30,0.20082870721817017,0.20109193474054338,0.9777811832114794,0.9783256123368189,0.5966351444570402,0.596487378514743
31,0.19579111859202386,0.1990578666329384,0.978275795437537,0.9772540255844675,0.6022904645758145,0.5990553812363762
32,0.19239974524825812,0.19226870238780974,0.9783661317351944,0.9781368344744925,0.6025488994428193,0.6063977475700837
33,0.18796372767537833,0.18885244578123092,0.9787565358291661,0.9785229618987465,0.6076065855078746,0.6104770281007366
34,0.18313399236649275,0.18605243414640427,0.9793346322887457,0.9789311401917127,0.6142581619148587,0.6101822450705674
35,0.17885933574289084,0.18177564889192582,0.9796626406482835,0.9790551692817703,0.618788529460148,0.6171014549095616
36,0.17604503445327283,0.17719597965478898,0.9798819819050737,0.9796224878298049,0.6213598241149337,0.622713816856489
37,0.1711514363065362,0.174493145942688,0.9804915035414564,0.9797897571572346,0.6290886890664852,0.6214420968268729
38,0.1686256729066372,0.1700534477829933,0.9807092151651131,0.9803782387767103,0.6323390508443468,0.6314989526198557
39,0.164426976069808,0.16636568903923035,0.9812210203844666,0.9807262578512986,0.6394777728455836,0.6385981529089524
40,0.16163756586611272,0.16293166130781173,0.9813969701665328,0.9813446165247213,0.6408084617405938,0.6400113894621207
41,0.1586968507617712,0.160197514295578,0.9817209000815279,0.9811765964992358,0.6448470364075287,0.6433062951407571
42,0.1562178073450923,0.15750831216573716,0.9819340346011777,0.9817276641620108,0.6488591426351127,0.6479402310995954
43,0.1524305095896125,0.15336579978466033,0.9823418913218205,0.982276190652109,0.6542570106210075,0.6562581768169734
44,0.14978429544717073,0.15113084614276887,0.9827407164083003,0.98242051077012,0.6591175482872791,0.6545812310063479
45,0.14709884468466045,0.14776331186294556,0.9829718896949282,0.9829502107637779,0.6632334450482893,0.6566639921195463
46,0.14462928231805564,0.14531276971101761,0.9832386881695849,0.9830870903282085,0.6675593501618284,0.6669908893410884
